"","id","tot","date","title","content","nation","week"
"1",871,"1.2",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","Federal authorities charged 19 people on Thursday in the first crackdown on birth tourism businesses, which prosecutors say bring hundreds of pregnant women from China to the United States.","c",5
"2",871,"1.3",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","Among the arrested were Dongyuan Li, 41, whose business was called ¡°You Win US,¡± which coached pregnant Chinese women on how to get into the United States to deliver babies.","c",5
"3",871,"1.7",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","More than a dozen others, including the operator of another such business, also face charges but are believed to have returned to China, said the US attorney¡¯s office in Los Angeles.","c",5
"4",871,"1.11",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","Derek Tung, Liu¡¯s attorney, said the growing interest among Chinese women in giving birth to American babies drew attention to a phenomenon long recognized by citizens of other countries.","c",5
"5",871,"1.12",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","His client had nothing to do with getting women visas from China, but worked as a sort of subcontractor to provide housing once they arrived, he said.","c",5
"6",871,"1.14",2019-02-01,"19 charged in Chinese 'birth tourism' crackdown: USprosecutors","The people who are in China are the ones in charge of everything,¡± he said.","c",5
"7",872,"2.248",2019-02-01,"Atlanta gears up for Rams-Patriots match-up during Super Bowl LIII","And forget about whether we ever get a trade deal with China.","c",5
"8",873,"3.8",2019-02-01,"David Webb: The catastrophe in Venezuela","It¡¯s time for a reality check¡¦ Venezuela is a tragedy under the socialist dictatorship of Nicolas Maduro aided by Cuba and other players including Iran, China, and Russia.","c",5
"9",874,"4.97",2019-02-01,"DHS special agent on how a border wall can help curb sex trafficking","Renegotiate bad trade deals, stand up to China, get NATO countries to pay their fair share, enforce the rule of law at the border, appoint judges who stay in their constitutional lane, stay out of unwinnable wars, cut taxes and red tape.","c",5
"10",875,"5.55",2019-02-01,"Has the left become too radical with late-term abortion legislation?","Communist China, how is that working out?","c",5
"11",875,"5.170",2019-02-01,"Has the left become too radical with late-term abortion legislation?","Much of this coming from China, and then smuggled by the cartels through the southern border.","c",5
"12",875,"5.174",2019-02-01,"Has the left become too radical with late-term abortion legislation?","It's why the president is pressing the president of China and he's getting results.","c",5
"13",877,"7.197",2019-02-01,"Report: Donald Trump Jr. didn't call father about Trump Tower meeting with Russians","The United States has a lot at stake and Maduro is backed by Russia and by China who also have a lot at stake in this.","c",5
